date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:19:44	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202023%2012:19:44%20GMT	https://prxobanana2.wixsite.com/lightux/decodeURIComponent(e	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/decodeURIComponent(e.10.delayed	(from https://prxobanana2.wixsite.com/lightux/)
05:19:44	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:45	27728/27728	---M-Z	200	added ('OK')	application/javascript	etag:W/%229562c76ed2a51f076cdd128b590e7b83%22	https://static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:46	384889/384889	---MCZ	200	added ('OK')	text/html	etag:W/%221ffa401908ad2ce9430157cc6f45eabf%22	https://prxobanana2.wixsite.com/lightux/lightux	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/lightux.html	(from https://prxobanana2.wixsite.com/lightux/pckeysystem)
05:19:46	2786/2786	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Oct%202023%2012:19:46%20GMT	https://static.wixstatic.com/media/122a2b_1e6b6c4f02124b03a5fbd7a5a81b536b~mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/122a2b_1e6b6c4f02124b03a5fbd7a5a81b536b~mv2.jpg	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_1e6b6c4f02124b03a5fbd7a5a81b536b_mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/122a2b_1e6b6c4f02124b03a5fbd7a5a81b536b_mv2.jpg	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:46	666/666	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:46%20GMT	https://static.wixstatic.com/media/122a2b_cf191c329e9846c4bbf00e086347b1b4~mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-crown-24.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_cf191c329e9846c4bbf00e086347b1b4_mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-crown-24.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:47	544/544	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:46%20GMT	https://static.wixstatic.com/media/122a2b_cf7747ddef0c4e869a9bb6abfbd4e37c~mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-scroll-24.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_cf7747ddef0c4e869a9bb6abfbd4e37c_mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-scroll-24.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:47	701/701	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:47%20GMT	https://static.wixstatic.com/media/122a2b_3c82b8c31a7a491b9b518a048bc9a447~mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-password-key-24.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_3c82b8c31a7a491b9b518a048bc9a447_mv2.png/v1/fill/w_31,h_31,al_c,lg_1,q_85,enc_auto/icons8-password-key-24.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:47	408/408	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:47%20GMT	https://static.wixstatic.com/media/122a2b_6b5266f3c02d4172a33f535f9e580302~mv2.png/v1/fill/w_34,h_34,al_c,lg_1,q_85,enc_auto/icons8-sort-down-24.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_6b5266f3c02d4172a33f535f9e580302_mv2.png/v1/fill/w_34,h_34,al_c,lg_1,q_85,enc_auto/icons8-sort-down-24.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:48	413/413	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:47%20GMT	https://static.wixstatic.com/media/122a2b_ccdedad39f20487784080219b166b702~mv2.png/v1/fill/w_19,h_19,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/icons8-close-24.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_ccdedad39f20487784080219b166b702_mv2.png/v1/fill/w_19,h_19,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/icons8-close-24.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
05:19:48	584/584	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Oct%202023%2012:19:48%20GMT	https://static.wixstatic.com/media/122a2b_06507dc808ed4017bce8f89ee825f198~mv2.png/v1/fill/w_19,h_19,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/icons8-done-48.png	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_06507dc808ed4017bce8f89ee825f198_mv2.png/v1/fill/w_19,h_19,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/icons8-done-48.png	(from https://prxobanana2.wixsite.com/lightux/lightux)
